,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93615,"1,681","4,584","2,293","33,624","1,575","28,040",249,151,612,"1,398",125,38,102
"Under $10,000        ",479,997,446,"2,415",437,"2,778",30,15,88,36,24,10,*         
"$10,000 under $25,000",758,"2,125","1,112","12,607",721,"10,445",80,48,253,226,55,13,21
"$25,000 under $50,000",373,"1,244",641,"12,594",354,"10,977",106,59,202,448,29,15,50
"$50,000 under $75,000",47,148,66,"2,776",45,"2,465",23,12,45,227,17,*         ,21
"$75,000 under $100,000",11,34,15,934,18,"1,375",*         ,*              ,11,92,*         ,--        ,*         
"$100,000 or more     ",13,36,13,"2,298",*         ,*              ,10,17,13,369,*         ,*         ,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93616,885,"2,182",992,"21,843",796,"17,983",195,127,432,"1,523",69,46,88
"Under $10,000        ",211,386,142,607,174,"1,020",30,25,49,16,17,13,11
"$10,000 under $25,000",383,974,489,"6,345",356,"5,309",49,17,150,134,23,17,*         
"$25,000 under $50,000",201,570,271,"7,008",187,"6,144",56,28,144,346,17,*         ,26
"$50,000 under $75,000",52,143,50,"3,186",48,"2,568",30,11,51,291,12,16,24
"$75,000 under $100,000",18,50,17,"1,591",17,"1,468",12,3,18,164,--        ,*         ,11
"$100,000 or more     ",20,59,23,"3,106",14,"1,474",18,43,20,572,*         ,*         ,16
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93618,"8,585","22,238","10,206","239,852","7,768","194,826","2,116","2,831","4,349","16,851",915,250,"1,642"
"Under $10,000        ","1,999","3,669","1,414","4,728","1,706","9,949",272,307,459,194,169,68,35
"$10,000 under $25,000","3,251","8,263","4,091","54,292","2,981","44,916",417,563,"1,295","1,175",257,33,192
"$25,000 under $50,000","2,083","6,341","3,073","72,832","1,938","62,689",608,389,"1,389","3,084",258,44,530
"$50,000 under $75,000",744,"2,368","1,003","45,252",692,"38,082",422,402,703,"3,210",122,39,445
"$75,000 under $100,000",286,871,329,"24,444",262,"19,901",201,264,282,"2,302",52,30,236
"$100,000 or more     ",222,726,296,"38,304",189,"19,289",196,906,221,"6,886",57,36,204
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93619,"7,245","17,522","6,027","614,957","6,033","427,264","4,900","9,674","6,058","90,152","1,579",218,"4,434"
"Under $10,000        ","1,206","1,558",214,"-1,980",869,"5,650",394,272,473,195,143,35,62
"$10,000 under $25,000","1,020","1,638",392,"17,190",778,"12,474",374,517,773,875,153,*         ,208
"$25,000 under $50,000",997,"2,066",627,"36,885",772,"25,928",585,810,862,"2,686",218,24,490
"$50,000 under $75,000","1,047","2,860","1,074","65,630",884,"49,145",826,915,990,"5,237",281,36,831
"$75,000 under $100,000",950,"2,855","1,089","83,083",864,"67,129",836,940,938,"7,609",264,31,861
"$100,000 or more     ","2,025","6,545","2,631","414,149","1,866","266,938","1,885","6,220","2,022","73,550",520,92,"1,982"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93620,"3,156","8,116","3,521","107,630","2,775","76,543",980,"1,704","1,928","9,707",367,124,730
"Under $10,000        ",629,"1,117",391,"1,417",512,"2,836",104,62,178,103,68,25,17
"$10,000 under $25,000","1,037","2,521","1,156","18,050",929,"14,438",180,142,547,560,95,14,80
"$25,000 under $50,000",886,"2,663","1,248","31,548",810,"26,309",289,273,620,"1,452",99,20,244
"$50,000 under $75,000",353,"1,082",458,"21,492",320,"17,474",205,279,332,"1,695",54,36,194
"$75,000 under $100,000",115,349,136,"9,861",101,"7,586",81,165,115,"1,042",24,*         ,83
"$100,000 or more     ",136,384,132,"25,262",103,"7,900",121,783,136,"4,855",27,29,112
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93621,207,459,149,"8,244",160,"5,935",88,83,149,760,31,*         ,68
"Under $10,000        ",46,61,9,200,23,107,14,15,17,9,*         ,--        ,11
"$10,000 under $25,000",51,116,45,894,40,611,14,4,29,37,19,--        ,*         
"$25,000 under $50,000",50,121,45,"1,831",44,"1,551",22,5,43,118,12,*         ,15
"$50,000 under $75,000",32,77,20,"1,949",29,"1,656",22,15,32,170,*         ,*         ,15
"$75,000 under $100,000",18,59,24,"1,535",24,"2,010",16,44,18,150,*         ,--        ,27
"$100,000 or more     ",10,25,6,"1,835",*         ,*              ,*         ,*              ,10,276,--        ,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93622,"3,462","9,727","4,766","108,043","3,250","76,438",692,"1,157","1,621","9,485",220,40,402
"Under $10,000        ",621,"1,102",414,"3,374",548,"3,004",64,53,139,64,33,*         ,*         
"$10,000 under $25,000","1,424","3,785","1,914","24,943","1,368","20,876",153,101,526,472,68,*         ,49
"$25,000 under $50,000","1,037","3,598","1,896","35,550","1,000","30,130",251,259,595,"1,248",76,19,137
"$50,000 under $75,000",222,794,387,"13,227",202,"10,870",100,65,203,929,28,*         ,92
"$75,000 under $100,000",60,200,89,"5,162",55,"4,167",39,31,60,540,*         ,*         ,40
"$100,000 or more     ",98,248,66,"25,787",77,"7,391",85,648,98,"6,232",15,21,84
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93623,44,77,14,"1,986",32,972,23,35,38,206,*         ,--        ,10
"Under $10,000        ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$10,000 under $25,000",15,21,4,268,*         ,*              ,*         ,*              ,10,10,--        ,--        ,--        
"$25,000 under $50,000",17,34,9,611,32,972,23,35,16,33,*         ,--        ,10
"$50,000 under $75,000",12,22,1,"1,107",*         ,*              ,*         ,*              ,12,163,--        ,--        ,--        
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93624,538,"1,686",845,"13,089",529,"12,170",88,16,223,436,10,*         ,18
"Under $10,000        ",77,148,58,76,75,490,*         ,*              ,25,5,10,*         ,--        
"$10,000 under $25,000",253,735,370,"4,677",251,"4,265",29,3,84,70,*         ,*         ,*         
"$25,000 under $50,000",175,671,350,"5,956",172,"5,453",41,5,84,163,*         ,--        ,18
"$50,000 under $75,000",33,132,67,"2,380",31,"1,962",18,8,30,198,*         ,--        ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93625,"2,472","5,890","2,388","92,032","2,091","70,749",951,"1,770","1,651","9,169",292,115,593
"Under $10,000        ",488,756,201,562,349,"2,196",109,101,170,122,61,31,17
"$10,000 under $25,000",793,"1,774",796,"13,464",683,"10,941",153,141,429,466,77,12,38
"$25,000 under $50,000",618,"1,638",711,"22,240",542,"18,351",246,309,489,"1,340",80,19,140
"$50,000 under $75,000",303,922,392,"18,681",274,"15,361",210,247,293,"1,466",37,28,175
"$75,000 under $100,000",125,396,158,"10,838",115,"8,925",104,83,125,"1,053",17,*         ,91
"$100,000 or more     ",145,404,130,"26,247",128,"14,975",129,889,145,"4,722",20,25,132
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93626,593,"1,260",371,"85,044",438,"33,011",342,882,481,"20,202",112,17,279
"Under $10,000        ",98,133,23,407,59,426,29,24,42,25,19,*         ,*         
"$10,000 under $25,000",115,206,56,"1,974",75,"1,121",40,34,77,86,16,*         ,29
"$25,000 under $50,000",108,237,74,"3,858",79,"2,557",61,94,93,262,20,17,45
"$50,000 under $75,000",90,224,76,"5,563",78,"4,280",59,33,87,539,23,--        ,53
"$75,000 under $100,000",40,104,30,"3,371",35,"2,572",30,35,40,352,*         ,--        ,35
"$100,000 or more     ",142,356,112,"69,871",112,"22,055",123,662,142,"18,938",34,*         ,117
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93627,97,295,154,"2,137",95,"2,087",10,0,33,42,*         ,--        ,--        
"Under $10,000        ",13,25,9,64,12,60,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$10,000 under $25,000",46,135,72,866,45,840,10,0,14,12,--        ,--        ,--        
"$25,000 under $50,000",38,135,73,"1,207",38,"1,187",*         ,*              ,19,30,--        ,--        ,--        
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93628,111,255,85,"3,990",107,"3,271",38,4,79,362,*         ,--        ,10
"Under $10,000        ",28,28,0,168,27,171,*         ,*              ,14,2,--        ,--        ,--        
"$10,000 under $25,000",29,56,17,507,29,507,*         ,*              ,21,17,*         ,--        ,--        
"$25,000 under $50,000",31,94,35,"1,028",30,966,25,2,21,38,*         ,--        ,10
"$50,000 under $75,000",23,77,33,"2,287",21,"1,627",13,2,23,305,--        ,--        ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--        ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,--        ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
